id,price_1,time_1,conven_1,comfort_1,meals_1,petfr_1,emipp_1,nonsig1_1,nonsig2_1,nonsig3_1,price_2,time_2,conven_2,comfort_2,meals_2,petfr_2,emipp_2,nonsig1_2,nonsig2_2,nonsig3_2,price_3,time_3,conven_3,comfort_3,meals_3,petfr_3,emipp_3,nonsig1_3,nonsig2_3,nonsig3_3,choice
1,1.629,6,4.675,2.398,3,0,2,4,1,3.003,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,2,0,3,7,5,1,4,2
2,2,6,3,4,3,0,2,4,1,5,3,3.978,4,4.5,2,0,0.5,2,4.308,2,7,3,8,1.47,0,3,7,5,1.44,3.993,2
3,2,6.054,3,4,3,0,2.845,4,1,5.783,3,3.5,4,4.5,2.1,0,0.5,-0.054,3,2,7,3,8,1.821,0,3,7,5,1,4,3
4,2,6,3,4,3.092,0,2,4,1,4.836,3,3.5,4,4.5,2,0,0.5,2,2.278,2,7,3,8,2,0,3,7,4.175,1,4,2
5,2,6,3,2.566,3,0,2,4,1.726,5,4.864,3.5,4,4.5,2,0,0.5,4.804,3,2,7,3,8,2,0,2.597,7,7.405,1,4,2
6,2,6,3,4,3,1.212,2,4,1,5,3,3.5,4,4.957,2,0,0.5,2,3,2.369,7,3,8,2,0,3.185,7,5,1,4,2
7,2,6,3,4,3,0,2,4,1,5,3,3.5,5.539,3.436,2,-0.169,0.5,2,3,4.459,7,3,9.155,2,0,3,5.217,5,1,4,2
8,2.318,7.058,3,4,3,0,2,4,1,5,3,2.623,4,4.5,2,0,0.5,1.475,3,2,7,3,8,1.184,0,3,7,5,1,4,3
9,2,4.303,3,4,3,0,2,4,1,5,3.654,3.295,4,4.5,2,1.727,-0.629,2.343,3,2,5.525,1.726,8,2,0,3,7,5.996,1,4,2
10,2,6,3,4,3,0,2,4,1,5,4.267,4.966,4,3.899,2,0,0.5,2,3,2,7,3,8,2,0.114,3,6.733,5,1,4,2
11,2,6,3,4,3,0,2,4,1,5,3,3.5,4,4.5,2,-0.517,0.5,2,3,2,7,3,8,1.285,0,5.115,7,5,0.651,2.592,2
12,2,6,3,3.784,3,0,2,4,1,5,3,3.684,4,4.5,2,0,0.5,2,3,2,6.519,3,8,2,0,3,6.243,5,1,4.732,2
13,2,6,3,4,3,0,2,4,1,4.748,3,3.5,4,4.5,1.853,0,0.5,2,1.354,2,7,3,5.154,1.657,0,2.191,7,5,1,4,2
14,2,6,3,4,3,-0.23,2,4,0.183,5,3,3.5,4,4.5,2.002,0,0.5,2,3,2.694,7,3,7.472,0.65,0,3,7,5,1,4,2
15,2,6,4.452,4,3,0.811,2,4,1,5,3.042,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,2,0,4.659,7,5,1,4,3
16,2,6,3,4,3.533,-0.579,2,3.645,1,5,3,3.5,2.32,4.5,2,0,0.44,2,3,2,7,3,8,2,0,1.498,7,5,1,4.787,2
17,2,6,3,4,3,0,2,4,1,5,3,4.754,3.663,4.038,2,0,0.853,2,1.709,2,7,3,8.774,2,0,3,7,5,1,4,3
18,2,6,3,3.482,3,0,2,4,1,5,2.425,3.5,4.038,4.5,2,0,0.5,2,3,2.289,7,3,8,2,0.125,3,7,5.146,1,4,2
19,2,6.968,3,5.169,3,0.369,2.218,4,1,5,2.495,3.5,4,4.5,2,0,1.123,2.083,3,2.002,7,3,8,2,0,3,7,5,1,4.682,1
20,2,6,4.53,4,3,-0.137,2,4,1,5,3,3.5,4,4.5,1.676,0,0.5,2,4.628,2,7,3,8,1.595,0,3,7,5,1,4,2
21,2.872,6,3,4,3,0,3.004,2.927,1,5,3,3.5,4,5.392,2,-0.626,0.5,2,3.644,2,7.442,3,8,2,0,3,6.47,5,1,4,2
22,1.898,6,3,4,3,0.236,2,4,1,5,3,3.5,4,4.5,2,-0.107,0.5,-0.297,3,2,7,3,8,2,0,3,6.164,5,0.821,4,3
23,2,6,3,4,3,0,2,4,1,5,3,3.5,4,4.5,2,0,0.5,2,3,-0.046,7,3,8,2,0,3,7,6.266,1,4,2
24,2,6,3,4,1.741,0,2,4,1,5.877,3,3.5,5.247,4.5,2,-1.202,0.5,2,3,2.937,7,3,9.246,2,-0.381,3,7,5,1,4,2
25,2,4.134,3,4,3,0,2,4,1,5.569,3.544,3.5,4,4.02,1.337,0,0.5,2,3,2,7,3,8,2,0,3,7,5,1,3.742,2
26,3.03,5.095,3,4,3,0,2,4,1,5.78,3,3.5,4,4.5,2,-1.31,0.5,2,3.595,1.308,7,3,8,2,1.27,3,7,5,1,4,2
27,1.254,6,3,4,3,0,2,4,2.365,4.618,3.815,3.5,4.251,4.5,2,1.592,0.5,2,3,2,6.607,4.445,8,2,0,3,7,5.678,1,4,2
28,1.33,6,3.083,3.827,3,0,2,4,1,5,3,3.5,4,4.5,2.281,0,0.5,2,3,2,7,3,8,2,0,3,7,5,1.105,4,2
29,2,5.495,3,4,3,0,2,3.789,1,4.578,3,3.5,4,4.5,2.855,0,0.5,1.947,3.428,2,7,3,8,2,0,3,7,5,-0.808,3.058,2
30,2,6,3,4,3,0,2,4.964,1,3.869,3,3.5,4,4.5,2,0,0.5,2,3,2,6.639,2.61,9.017,2,0,3,7,5,1,4.081,3
31,2,6,3,4,3,0,2,4,1,5,2.606,3.5,4,4.5,2,0,0.5,1.447,3,0.962,7,2.334,8,2,-0.259,3,7,5,1,5.293,3
32,1.863,6,3,4,3,0,2,4,1,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,7.866,2,0,4.227,7,5,1.431,3.216,2
33,2,6.852,3,4,3,0,2,5.029,0.782,5,3,3.5,4,4.5,2,0.051,-0.87,2,3,2,7,3,8,2,0,3,6.541,2.922,1,4,2
34,0.23,6,3,4,3,0,2,4,1,5,2.353,4.622,3.626,4.5,2,0,0.555,3.558,3,2,6.466,3,8,2.461,0,3,7,5,1,4,1
35,2,6,3,4,3,0,2,4,1,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,2,0.221,3,7,5,1,4,2
36,2,6,3.089,4,3,0,2,4,1,5,3.202,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,2,0,3,7,5,2.089,4,2
37,2,6,3,4,3,0,1.485,2.286,1,5,3,3.5,4,4.5,2,0,0.5,2,1.736,2,7.642,3,8,2,0,3,7,5,1,4,2
38,1.388,6,3,4,3,-1.303,2,4,1,4.112,2.09,3.5,3.958,4.5,1.567,0,0.5,2,3,2,7,3,8,2,0,4.513,7,5,1.999,4,3
39,2,6,3,4,3,-0.317,2,4,1,5,3.235,3.5,3.397,4.5,2,1.449,0.5,1.96,3,2,7.015,3,8,2.089,0,3,6.959,5,1,4,2
40,2,6.678,3,4,3,0,2,4,1,5,3,3.5,4.051,4.5,2,0,0.111,2,3,1.669,7,3,8,4.07,0,3,7,5,1,4.065,2
41,2.776,6,3,4,3,0,2,4,1,5,3,3.5,4,3.164,2,-0.366,0.5,2,3,2,7,3,8,2,0,3,7,5,1,4,2
42,2.009,6.592,3,4,3,0,3.591,2.597,1,5,3,3.5,4,4.5,2,-0.761,0.5,2,3,2,7,3,8,1.757,0,3,7,5,1,4,2
43,2,6,3.079,4,3,0,1.61,2.854,0.859,5,2.667,3.5,4,4.5,2,0,0.5,2,3,2,8.676,3,9.644,3.006,0,3,7,5,1,4,2
44,0.511,6,3,4,3,0,0.665,4,1,5,3,3.5,4,4.5,1.047,0,1.759,2,0.931,2,7.063,3,8,2,0,3,7,5,1,4,1
45,2,6,3,4.003,3,-1.609,2,4,1.176,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,1.933,0,3,7,5,1,4,3
46,2,6,3,4,3,0,2,4,1,4.98,4.096,3.5,4,4.5,2,0,0.695,2.619,3,2,7,3.182,8,1.332,0,3,6.939,5,1,4,2
47,2,6,3,4,3,0.893,2,4,0.178,4.776,3.93,3.5,2.956,4.5,2,-0.557,0.5,2,3,2,7,3,8,2.244,0,3,7,5,1,5.012,1
48,2,6,3,4,3,0,2,4,1,5,3,3.5,4,4.5,1.237,0.276,0.5,2,3,2,7,2.92,8,3.826,0,3,7,5,1,4,2
49,2,6,3,4,3.503,0,2.261,4,0.749,5.169,3,3.647,4,5.476,2,0,0.009,2,3,2,7,3,8,2,0,3,7,4.147,1,4,2
50,2,6.165,3,4,3,0,2,4,1,5,3,3.5,4,4.5,2.014,0,0.5,1.048,3,2,7,0.526,8,2,0,3,7,5,1.175,5.172,2
51,2,6,3,4,3,0,2,4,1.981,6.621,3,4.027,4,4.5,2,0,0.5,2,3,2,7,5.456,6.284,2,0,3,7,5,1,4,2
52,2,6,3,4,4.136,0,2,4,1,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,2,0,3,7,5,1,4,2
53,2,6,3,4,3,0,2,4,1,5,3,3.5,2.034,4.5,2,0,0.5,2,3,2,7,3,8,2,0,3,7,5,1,3.693,2
54,2,6,3,4,3,0,2,4,1,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,2.566,8,2,-0.604,3,7,5,0.748,4,2
55,2,5.296,3,4,3,0,2,4,1.876,5.163,3,3.5,4.709,4.5,2,1.096,0.5,2,3.799,0.931,7,3,8,2,0,3,7,5,1,4,2
56,2.252,5.527,3,4,3,-0.239,1.204,4,1,5.544,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,2,0,0.257,7,5,1,4,2
57,3.365,6,3,4,3,0,2,4.542,1,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,9.599,2,0,3,7,3.795,2.31,4,2
58,2,6,3,3.751,3.793,0,2,4,1,5.034,3,3.5,4,4.5,2,0,0.5,3.489,3,2,7,3.082,8,2,0,3,7,5,1,4,2
59,2,6,3,4,3,0,2,3.015,1,5,3,3.5,3.725,4.5,2,0,0.5,2,3,2,7,3,8.498,-0.665,0,1.354,7,5,1,3.517,2
60,2,5.189,3,4,3,0,2,4,1,5,4.563,3.5,2.787,4.5,2,0,0.5,2,2.978,2,7,3.205,8,2,0,3,7,5,1,4,3
61,2,6,3,4,3,0,2,3.272,1,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3.074,8,2,0,3,6.848,5,1,4,2
62,2.35,6,3,4,3,-0.955,2,4,1.651,5,2.492,3.5,4,4.5,2,0,0.5,2,3,2,7,1.777,8,2,1.83,3,7,5,1,4,2
63,2,6.455,3.042,4,2.604,0,2,4,1,5,3,3.5,4,4.5,2,0,0.5,2,2.021,2,7,3,8,2,0,3,5.846,5,1,4,2
64,2,6,1.919,4,3,0,2,4,0.477,5,3,3.5,4.416,4.5,2,0,0.5,2,3,2,7,2.184,7.168,2,0,3,7,4.835,1,3.895,3
65,2,6,3,4,3,0,2,4,1,5,3,3.5,4,6.576,2,0,0.297,2.835,3,2,7,3,8,2,0,3,7,5,1,4,2
66,2,6,3,4,3,0,4.169,4,2.524,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,2,0,3,7,4.108,1,4,2
67,2,4.876,3,4,3,0,2,4,0.074,5,2.962,3.5,4,4.5,2,0,0.5,2,3,2,7,1.568,8,2,0,3,7,5,1,4,2
68,2,6,3,3.561,3,0,2,4,1,5,3,3.5,4,4.5,2,0,0.5,2,3,2,7,3,8,1.103,0,3,7,4.638,1,4,2
