person_id,choice_id,alt,choice,price,opcost,range,ev,gas,hybrid,hiperf,medhiperf
1,1,1,0,46763,47.43,0,0,0,1,0,0
1,1,2,1,57209,27.43,1.3,1,0,0,1,1
1,1,3,0,87960,32.41,1.2,1,0,0,0,1
1,2,1,1,33768,4.89,1.3,1,0,0,1,1
1,2,2,0,90336,30.19,0,0,0,1,0,1
1,2,3,0,57099,27.16,1.8,1,0,0,1,1
1,3,1,1,45534,10.72,1.2,1,0,0,0,0
1,3,2,0,21825,15.53,0,0,0,1,1,1
1,3,3,0,34031,60.62,0,0,1,0,0,0
1,4,1,0,8639,22.16,0,0,1,0,0,1
1,4,2,1,24063,17.74,1.9,1,0,0,0,0
1,4,3,0,69325,28.84,1.6,1,0,0,0,0
1,5,1,1,52145,39.75,0,0,0,1,0,1
1,5,2,0,46742,24.85,0,0,0,1,1,1
1,5,3,0,21282,52.72,0,0,1,0,0,1
1,6,1,0,17015,60.32,0,0,1,0,1,1
1,6,2,1,19895,64.94,0,0,1,0,1,1
1,6,3,0,61018,25.05,0,0,0,1,0,0
1,7,1,1,51026,11.17,1.7,1,0,0,1,1
1,7,2,0,11619,27.12,0,0,1,0,0,1
1,7,3,0,13669,47.14,0,0,1,0,1,1
1,8,1,0,69772,28.03,1.6,1,0,0,0,1
1,8,2,0,40561,12.15,1.5,1,0,0,1,1
1,8,3,1,33889,45.09,0,0,0,1,1,1
1,9,1,1,15717,39.15,0,0,1,0,0,1
1,9,2,0,29806,26.16,1.1,1,0,0,1,1
1,9,3,0,12731,42.81,0,0,1,0,0,1
1,10,1,0,38766,40.24,0,0,0,1,0,0
1,10,2,0,42432,29.26,0,0,0,1,1,1
1,10,3,1,38307,39.59,0,0,0,1,0,1
1,11,1,0,51275,25.38,2,1,0,0,1,1
1,11,2,1,37199,62.59,0,0,1,0,1,1
1,11,3,0,35022,61.81,0,0,1,0,0,0
1,12,1,0,73486,27.25,0,0,0,1,1,1
1,12,2,0,81766,44.08,0,0,0,1,0,0
1,12,3,1,61016,27.05,0,0,0,1,0,1
1,13,1,0,29245,30.66,0.6,1,0,0,1,1
1,13,2,0,47483,38.2,0,0,0,1,0,0
1,13,3,1,62512,32.2,0,0,0,1,1,1
1,14,1,0,15077,43.02,0,0,1,0,0,1
1,14,2,1,15617,39.26,0,0,1,0,1,1
1,14,3,0,38911,5.97,0.6,1,0,0,1,1
1,15,1,1,27326,39.75,0,0,1,0,1,1
1,15,2,0,52835,39.76,1.4,1,0,0,1,1
1,15,3,0,27598,69.71,0,0,1,0,0,1
2,16,1,0,48301,19.14,0.7,1,0,0,0,1
2,16,2,1,30820,4.74,1,1,0,0,0,1
2,16,3,0,27147,50.98,0,0,1,0,1,1
2,17,1,0,27275,43.79,0,0,1,0,0,0
2,17,2,0,79439,8.79,1.9,1,0,0,1,1
2,17,3,1,21747,44.44,0,0,1,0,0,1
2,18,1,0,22576,37.79,0,0,0,1,0,0
2,18,2,0,35248,66.36,0,0,1,0,1,1
2,18,3,1,24221,14.69,2,1,0,0,1,1
2,19,1,1,13459,16.28,0,0,0,1,1,1
2,19,2,0,41603,33.49,0,0,0,1,0,0
2,19,3,0,56748,23.19,0,0,0,1,0,0
2,20,1,0,62537,30.65,1.3,1,0,0,0,0
2,20,2,1,26992,61.12,0,0,1,0,0,1
2,20,3,0,39192,15.02,1.3,1,0,0,1,1
2,21,1,0,11963,25.04,0,0,1,0,1,1
2,21,2,1,34725,32.74,0,0,0,1,1,1
2,21,3,0,23932,71.9,0,0,1,0,0,1
2,22,1,1,25860,55.7,0,0,1,0,1,1
2,22,2,0,23671,49.5,0,0,1,0,0,1
2,22,3,0,44789,41.24,0,0,0,1,0,1
2,23,1,0,37433,26.01,0,0,0,1,1,1
2,23,2,0,10182,15.03,0.9,1,0,0,0,1
2,23,3,1,15739,14.9,1.6,1,0,0,1,1
2,24,1,0,57705,14.11,0.9,1,0,0,1,1
2,24,2,1,25196,70.46,0,0,1,0,1,1
2,24,3,0,25112,21.33,0.7,1,0,0,0,0
2,25,1,0,47238,36.78,0,0,0,1,0,1
2,25,2,1,26982,45.74,0,0,1,0,0,1
2,25,3,0,24270,54.4,0,0,1,0,0,0
2,26,1,0,44680,46.96,0,0,0,1,0,0
2,26,2,1,23488,40.61,0,0,1,0,1,1
2,26,3,0,34101,14.83,1.1,1,0,0,0,1
2,27,1,0,63534,36.4,0.8,1,0,0,0,0
2,27,2,1,41999,26.67,0,0,0,1,1,1
2,27,3,0,65844,40.99,1.4,1,0,0,1,1
2,28,1,1,18173,53.36,0,0,1,0,0,0
2,28,2,0,30817,11.78,1.1,1,0,0,1,1
2,28,3,0,36434,14.39,2,1,0,0,1,1
2,29,1,0,27247,34.04,0.7,1,0,0,1,1
2,29,2,1,23064,68,0,0,1,0,1,1
2,29,3,0,28424,13.24,0.9,1,0,0,0,1
2,30,1,1,23855,57.8,0,0,1,0,1,1
2,30,2,0,34792,14.8,0,0,0,1,1,1
2,30,3,0,60436,22.47,1.9,1,0,0,1,1
3,31,1,0,46869,36.7,0,0,0,1,0,1
3,31,2,1,15110,37.82,0,0,1,0,0,0
3,31,3,0,24071,48.13,0,0,1,0,1,1
3,32,1,1,44910,5.96,1,1,0,0,0,1
3,32,2,0,26196,58.35,0,0,1,0,0,0
3,32,3,0,7694,22.57,0,0,1,0,1,1
3,33,1,0,18398,48.17,0,0,1,0,0,1
3,33,2,0,18852,64.12,0,0,1,0,0,0
3,33,3,1,24784,5.02,1.3,1,0,0,1,1
3,34,1,1,55553,41.68,0,0,0,1,0,1
3,34,2,0,29555,55.39,0,0,1,0,0,0
3,34,3,0,51730,10.34,1.4,1,0,0,0,1
3,35,1,1,26068,22.01,0,0,0,1,1,1
3,35,2,0,26515,57.48,0,0,1,0,0,0
3,35,3,0,69679,9.07,1.4,1,0,0,1,1
3,36,1,0,43451,30.32,1.2,1,0,0,1,1
3,36,2,0,42900,35.58,0.8,1,0,0,0,0
3,36,3,1,26723,30.91,1.8,1,0,0,1,1
3,37,1,0,31398,47.89,0,0,0,1,0,1
3,37,2,0,15340,47.84,0,0,1,0,0,0
3,37,3,1,37426,31.71,0,0,0,1,1,1
3,38,1,1,59921,49.43,0,0,0,1,1,1
3,38,2,0,42596,48.82,0,0,0,1,0,0
3,38,3,0,61849,33.11,0,0,0,1,0,0
3,39,1,0,32218,60.33,0,0,1,0,1,1
3,39,2,0,31856,8.57,0.8,1,0,0,0,0
3,39,3,1,29283,36.76,0,0,1,0,1,1
3,40,1,1,10780,15.44,0,0,0,1,0,0
3,40,2,0,28697,11.24,1.5,1,0,0,0,0
3,40,3,0,17499,18.08,0,0,0,1,0,0
3,41,1,1,43790,12.55,0.7,1,0,0,0,1
3,41,2,0,26404,19.42,0,0,0,1,0,0
3,41,3,0,16671,40.39,0,0,1,0,0,1
3,42,1,1,34670,62.5,0,0,1,0,0,0
3,42,2,0,87919,29.38,0.7,1,0,0,1,1
3,42,3,0,53993,10.35,0.7,1,0,0,0,1
3,43,1,0,57045,26.45,2,1,0,0,1,1
3,43,2,1,36601,41.11,0,0,1,0,0,0
3,43,3,0,49247,47.99,0,0,0,1,0,1
3,44,1,0,53998,27.18,0,0,0,1,1,1
3,44,2,0,51670,44.33,0,0,0,1,0,1
3,44,3,1,42689,27.12,0,0,0,1,1,1
3,45,1,1,51583,27.62,0,0,0,1,0,1
3,45,2,0,24882,62.31,0,0,1,0,0,1
3,45,3,0,69944,45.98,0,0,0,1,0,1
4,46,1,1,20484,31.99,0,0,0,1,0,0
4,46,2,0,36020,33.5,0,0,0,1,0,0
4,46,3,0,48275,33.52,0,0,0,1,0,1
4,47,1,0,94610,35.28,1.6,1,0,0,0,0
4,47,2,0,46746,16.8,0.8,1,0,0,0,0
4,47,3,1,43038,45.07,0,0,0,1,0,1
4,48,1,1,48112,30.88,0.6,1,0,0,0,1
4,48,2,0,24480,48.38,0,0,1,0,0,1
4,48,3,0,60867,17.56,1.9,1,0,0,0,0
4,49,1,1,39413,38.27,0,0,0,1,0,0
4,49,2,0,15052,8.91,1.5,1,0,0,1,1
4,49,3,0,18732,11.01,2,1,0,0,1,1
4,50,1,1,27512,25.88,1.7,1,0,0,1,1
4,50,2,0,19375,18.37,1.2,1,0,0,0,1
4,50,3,0,43089,14.23,1.6,1,0,0,0,1
4,51,1,0,70044,5.06,1.3,1,0,0,0,0
4,51,2,1,33638,10.16,1.2,1,0,0,0,0
4,51,3,0,64158,13.46,1,1,0,0,1,1
4,52,1,1,58476,26.95,1.1,1,0,0,0,0
4,52,2,0,29602,41.49,0,0,0,1,0,0
4,52,3,0,28506,38.74,0,0,1,0,0,1
4,53,1,0,19949,15.08,1.3,1,0,0,0,0
4,53,2,0,28558,32.5,0,0,0,1,1,1
4,53,3,1,16768,24.5,0,0,0,1,0,0
4,54,1,1,17359,35.16,0,0,1,0,0,0
4,54,2,0,10544,8.18,1,1,0,0,0,0
4,54,3,0,46513,12.96,1.9,1,0,0,0,0
4,55,1,1,41007,31.71,1.3,1,0,0,0,1
4,55,2,0,26837,46.96,0,0,0,1,1,1
4,55,3,0,30396,46.09,0,0,1,0,1,1
4,56,1,1,25384,71.39,0,0,1,0,0,1
4,56,2,0,25795,30.21,1,1,0,0,0,1
4,56,3,0,17351,43.79,0,0,1,0,1,1
4,57,1,0,24398,56.14,0,0,1,0,0,0
4,57,2,0,73673,15.35,1.6,1,0,0,1,1
4,57,3,1,46658,18.89,0,0,0,1,0,1
4,58,1,0,10881,20.14,0,0,0,1,0,0
4,58,2,0,32000,36.38,0,0,0,1,0,0
4,58,3,1,22958,65.63,0,0,1,0,0,0
4,59,1,0,25867,60.2,0,0,1,0,1,1
4,59,2,1,24927,48.87,0,0,1,0,0,1
4,59,3,0,59237,11.56,2,1,0,0,1,1
4,60,1,0,46905,15.45,1.8,1,0,0,1,1
4,60,2,0,39024,34.18,1,1,0,0,0,1
4,60,3,1,23489,44.29,0,0,1,0,1,1
5,61,1,1,20479,54.04,0,0,1,0,0,0
5,61,2,0,12120,42.4,0,0,1,0,0,1
5,61,3,0,56912,37.72,0,0,0,1,0,0
5,62,1,0,41730,29.87,0,0,0,1,0,1
5,62,2,0,27759,35.03,1.1,1,0,0,0,0
5,62,3,1,39752,34.9,1.4,1,0,0,1,1
5,63,1,1,25633,43.4,0,0,1,0,1,1
