choice,id,alt,pf,cl,loc,wk,tod,seas,chid
0,1,1,7,5,0,1,0,0,1
0,1,2,9,1,1,0,0,0,1
0,1,3,0,0,0,0,0,1,1
1,1,4,0,5,0,1,1,0,1
0,1,1,7,0,0,1,0,0,2
0,1,2,9,5,0,1,0,0,2
1,1,3,0,1,1,0,1,0,2
0,1,4,0,5,0,0,0,1,2
0,1,1,9,5,0,0,0,0,3
0,1,2,7,1,0,1,0,0,3
0,1,3,0,0,0,1,1,0,3
1,1,4,0,0,1,0,0,1,3
0,1,1,0,1,0,1,0,1,4
0,1,2,9,1,0,0,0,0,4
0,1,3,7,0,1,0,0,0,4
1,1,4,0,5,0,1,1,0,4
1,1,1,0,0,1,0,1,0,5
0,1,2,9,1,0,1,0,0,5
0,1,3,0,0,0,0,0,1,5
0,1,4,7,5,0,1,0,0,5
0,1,1,0,0,0,0,0,1,6
0,1,2,9,0,0,0,0,0,6
0,1,3,0,1,1,0,1,0,6
1,1,4,7,5,0,1,0,0,6
1,1,1,0,5,0,1,0,1,7
0,1,2,9,0,0,0,0,0,7
0,1,3,0,1,0,0,1,0,7
0,1,4,7,5,1,0,0,0,7
0,1,1,9,0,0,1,0,0,8
0,1,2,7,1,0,0,0,0,8
1,1,3,0,1,1,0,0,1,8
0,1,4,0,5,0,0,1,0,8
1,1,1,0,5,0,1,0,1,9
0,1,2,0,5,0,0,1,0,9
0,1,3,9,0,0,1,0,0,9
0,1,4,7,1,0,0,0,0,9
0,1,1,0,1,0,1,0,1,10
1,1,2,0,5,1,0,1,0,10
0,1,3,7,0,0,0,0,0,10
0,1,4,9,0,0,1,0,0,10
0,1,1,9,5,0,1,0,0,11
0,1,2,0,0,0,1,1,0,11
1,1,3,0,5,1,0,0,1,11
0,1,4,7,1,0,0,0,0,11
0,1,1,0,1,0,1,1,0,12
0,1,2,7,5,0,0,0,0,12
0,1,3,9,5,1,0,0,0,12
1,1,4,0,0,0,1,0,1,12
0,2,1,0,0,1,0,0,1,13
0,2,2,7,5,0,1,0,0,13
0,2,3,0,1,0,0,1,0,13
1,2,4,9,1,0,1,0,0,13
0,2,1,7,5,0,0,0,0,14
0,2,2,0,1,0,1,1,0,14
0,2,3,0,0,0,1,0,1,14
1,2,4,9,5,1,0,0,0,14
0,2,1,9,1,0,0,0,0,15
0,2,2,0,1,0,0,1,0,15
1,2,3,7,5,0,1,0,0,15
0,2,4,0,0,1,0,0,1,15
0,2,1,7,5,0,1,0,0,16
0,2,2,9,1,0,0,0,0,16
1,2,3,0,0,0,1,1,0,16
0,2,4,0,1,1,0,0,1,16
1,2,1,7,5,0,1,0,0,17
0,2,2,9,1,1,0,0,0,17
0,2,3,0,0,0,0,0,1,17
0,2,4,0,5,0,1,1,0,17
1,2,1,7,0,0,1,0,0,18
0,2,2,9,5,0,1,0,0,18
0,2,3,0,1,1,0,1,0,18
0,2,4,0,5,0,0,0,1,18
0,2,1,9,5,0,0,0,0,19
1,2,2,7,1,0,1,0,0,19
0,2,3,0,0,0,1,1,0,19
0,2,4,0,0,1,0,0,1,19
0,2,1,0,1,0,1,0,1,20
0,2,2,9,1,0,0,0,0,20
1,2,3,7,0,1,0,0,0,20
0,2,4,0,5,0,1,1,0,20
0,2,1,0,0,1,0,1,0,21
0,2,2,9,1,0,1,0,0,21
0,2,3,0,0,0,0,0,1,21
1,2,4,7,5,0,1,0,0,21
0,2,1,0,0,0,0,0,1,22
0,2,2,9,0,0,0,0,0,22
0,2,3,0,1,1,0,1,0,22
1,2,4,7,5,0,1,0,0,22
0,2,1,0,5,0,1,0,1,23
0,2,2,9,0,0,0,0,0,23
0,2,3,0,1,0,0,1,0,23
1,2,4,7,5,1,0,0,0,23
0,2,1,9,0,0,1,0,0,24
1,2,2,7,1,0,0,0,0,24
0,2,3,0,1,1,0,0,1,24
0,2,4,0,5,0,0,1,0,24
0,3,1,0,0,1,0,1,0,25
1,3,2,7,1,0,0,0,0,25
0,3,3,9,5,0,1,0,0,25
0,3,4,0,5,0,1,0,1,25
0,3,1,9,5,0,1,0,0,26
0,3,2,0,0,0,0,0,1,26
1,3,3,7,1,0,0,0,0,26
0,3,4,0,0,1,0,1,0,26
1,3,1,7,0,0,0,0,0,27
0,3,2,0,0,0,1,1,0,27
0,3,3,0,5,0,1,0,1,27
0,3,4,9,1,0,0,0,0,27
0,3,1,7,5,1,0,0,0,28
0,3,2,0,1,0,0,0,1,28
0,3,3,0,5,0,0,1,0,28
1,3,4,9,0,0,1,0,0,28
0,3,1,0,0,0,1,0,1,29
0,3,2,0,1,0,0,1,0,29
0,3,3,9,0,0,1,0,0,29
1,3,4,7,5,1,0,0,0,29
0,3,1,0,5,0,0,0,1,30
0,3,2,0,1,0,0,1,0,30
0,3,3,9,5,1,0,0,0,30
1,3,4,7,0,0,1,0,0,30
0,3,1,9,5,0,1,0,0,31
0,3,2,0,0,0,1,1,0,31
0,3,3,0,5,1,0,0,1,31
1,3,4,7,1,0,0,0,0,31
1,3,1,9,1,0,1,0,0,32
0,3,2,7,0,1,0,0,0,32
0,3,3,0,5,0,1,1,0,32
0,3,4,0,0,0,0,0,1,32
0,3,1,0,0,0,0,1,0,33
1,3,2,9,1,0,0,0,0,33
0,3,3,0,5,0,0,0,1,33
0,3,4,0,5,0,1,0,1,33
0,3,1,9,5,0,1,0,0,34
0,3,2,0,5,0,0,0,1,34
1,3,3,7,1,0,0,0,0,34
0,3,4,0,0,0,0,1,0,34
1,3,1,7,1,0,0,0,0,35
0,3,2,0,0,0,0,1,0,35
0,3,3,0,5,1,0,0,1,35
0,3,4,9,5,0,1,0,0,35
0,3,1,0,0,0,0,1,0,36
0,3,2,0,1,0,1,0,1,36
1,3,3,7,5,0,0,0,0,36
0,3,4,9,0,0,0,0,0,36
0,4,1,9,0,0,0,0,0,37
1,4,2,0,0,0,1,0,1,37
0,4,3,0,1,1,0,1,0,37
0,4,4,7,5,0,1,0,0,37
0,4,1,0,0,0,0,1,0,38
0,4,2,7,5,0,0,0,0,38
1,4,3,0,0,1,0,0,1,38
0,4,4,9,1,0,1,0,0,38
1,4,1,0,1,0,0,1,0,39
0,4,2,9,5,0,1,0,0,39
0,4,3,0,5,0,1,0,1,39
0,4,4,7,0,0,0,0,0,39
0,4,1,9,0,1,0,0,0,40
0,4,2,7,5,0,0,0,0,40
1,4,3,0,1,0,1,0,1,40
0,4,4,0,1,0,0,1,0,40
0,4,1,0,0,1,0,1,0,41
0,4,2,7,1,0,0,0,0,41
0,4,3,9,5,0,1,0,0,41
1,4,4,0,5,0,1,0,1,41
0,4,1,9,5,0,1,0,0,42
0,4,2,0,0,0,0,0,1,42
0,4,3,7,1,0,0,0,0,42
1,4,4,0,0,1,0,1,0,42
1,4,1,7,0,0,0,0,0,43
0,4,2,0,0,0,1,1,0,43
0,4,3,0,5,0,1,0,1,43
0,4,4,9,1,0,0,0,0,43
0,4,1,7,5,1,0,0,0,44
0,4,2,0,1,0,0,0,1,44
0,4,3,0,5,0,0,1,0,44
1,4,4,9,0,0,1,0,0,44
1,4,1,0,0,0,1,0,1,45
0,4,2,0,1,0,0,1,0,45
0,4,3,9,0,0,1,0,0,45
0,4,4,7,5,1,0,0,0,45
0,4,1,0,5,0,0,0,1,46
0,4,2,0,1,0,0,1,0,46
0,4,3,9,5,1,0,0,0,46
1,4,4,7,0,0,1,0,0,46
0,4,1,9,5,0,1,0,0,47
0,4,2,0,0,0,1,1,0,47
0,4,3,0,5,1,0,0,1,47
1,4,4,7,1,0,0,0,0,47
0,4,1,9,1,0,1,0,0,48
1,4,2,7,0,1,0,0,0,48
0,4,3,0,5,0,1,1,0,48
0,4,4,0,0,0,0,0,1,48
1,5,1,7,5,0,1,0,0,49
0,5,2,9,1,1,0,0,0,49
0,5,3,0,0,0,0,0,1,49
0,5,4,0,5,0,1,1,0,49
1,5,1,7,0,0,1,0,0,50
0,5,2,9,5,0,1,0,0,50
0,5,3,0,1,1,0,1,0,50
0,5,4,0,5,0,0,0,1,50
0,5,1,9,5,0,0,0,0,51
1,5,2,7,1,0,1,0,0,51
0,5,3,0,0,0,1,1,0,51
0,5,4,0,0,1,0,0,1,51
0,5,1,0,1,0,1,0,1,52
0,5,2,9,1,0,0,0,0,52
1,5,3,7,0,1,0,0,0,52
0,5,4,0,5,0,1,1,0,52
0,5,1,0,0,1,0,1,0,53
0,5,2,9,1,0,1,0,0,53
0,5,3,0,0,0,0,0,1,53
1,5,4,7,5,0,1,0,0,53
0,5,1,0,0,0,0,0,1,54
0,5,2,9,0,0,0,0,0,54
0,5,3,0,1,1,0,1,0,54
1,5,4,7,5,0,1,0,0,54
0,5,1,0,5,0,1,0,1,55
0,5,2,9,0,0,0,0,0,55
0,5,3,0,1,0,0,1,0,55
1,5,4,7,5,1,0,0,0,55
0,5,1,9,0,0,1,0,0,56
1,5,2,7,1,0,0,0,0,56
0,5,3,0,1,1,0,0,1,56
0,5,4,0,5,0,0,1,0,56
0,5,1,0,5,0,1,0,1,57
0,5,2,0,5,0,0,1,0,57
0,5,3,9,0,0,1,0,0,57
1,5,4,7,1,0,0,0,0,57
0,5,1,0,1,0,1,0,1,58
0,5,2,0,5,1,0,1,0,58
1,5,3,7,0,0,0,0,0,58
0,5,4,9,0,0,1,0,0,58
0,5,1,9,5,0,1,0,0,59
0,5,2,0,0,0,1,1,0,59
0,5,3,0,5,1,0,0,1,59
1,5,4,7,1,0,0,0,0,59
0,5,1,0,1,0,1,1,0,60
1,5,2,7,5,0,0,0,0,60
0,5,3,9,5,1,0,0,0,60
0,5,4,0,0,0,1,0,1,60
1,6,1,7,5,1,0,0,0,61
0,6,2,0,1,0,1,0,1,61
0,6,3,0,0,0,0,1,0,61
0,6,4,9,0,0,0,0,0,61
0,6,1,0,5,0,1,1,0,62
0,6,2,0,5,0,0,0,1,62
1,6,3,9,1,1,0,0,0,62
0,6,4,7,0,0,1,0,0,62
0,6,1,0,1,0,0,0,1,63
0,6,2,7,0,0,0,0,0,63
1,6,3,9,0,1,0,0,0,63
0,6,4,0,5,0,1,1,0,63
1,6,1,9,1,1,0,0,0,64
0,6,2,7,1,0,1,0,0,64
0,6,3,0,0,0,1,1,0,64
0,6,4,0,5,0,0,0,1,64
0,6,1,0,5,0,0,1,0,65
1,6,2,7,0,1,0,0,0,65
0,6,3,0,1,0,1,0,1,65
0,6,4,9,0,0,0,0,0,65
0,6,1,0,5,1,0,0,1,66
1,6,2,7,1,0,1,0,0,66
0,6,3,0,0,0,0,1,0,66
0,6,4,9,1,0,0,0,0,66
0,6,1,7,1,0,0,0,0,67
1,6,2,9,0,0,1,0,0,67
0,6,3,0,5,0,0,1,0,67
0,6,4,0,1,1,0,0,1,67
1,6,1,9,0,0,1,0,0,68
0,6,2,7,0,0,0,0,0,68
0,6,3,0,1,0,1,0,1,68
0,6,4,0,5,1,0,1,0,68
0,6,1,0,0,1,0,0,1,69
0,6,2,0,1,0,0,1,0,69
0,6,3,9,1,0,0,0,0,69
1,6,4,9,5,0,1,0,0,69
1,6,1,9,0,0,1,0,0,70
0,6,2,7,5,0,0,0,0,70
0,6,3,0,1,1,0,0,1,70
0,6,4,0,0,0,0,1,0,70
0,6,1,0,1,0,1,0,1,71
0,6,2,9,0,0,1,0,0,71
0,6,3,0,0,0,0,1,0,71
1,6,4,7,5,1,0,0,0,71
0,6,1,0,5,0,1,0,1,72
1,6,2,9,0,0,1,0,0,72
0,6,3,7,1,0,0,0,0,72
0,6,4,0,0,0,0,1,0,72
0,7,1,9,5,0,0,0,0,73
0,7,2,0,0,0,1,0,1,73
0,7,3,0,1,1,0,1,0,73
1,7,4,7,5,0,1,0,0,73
0,7,1,0,0,0,1,0,1,74
0,7,2,0,5,0,0,1,0,74
0,7,3,9,5,0,0,0,0,74
1,7,4,7,1,0,1,0,0,74
0,7,1,0,1,0,1,1,0,75
0,7,2,9,5,1,0,0,0,75
1,7,3,0,5,0,1,0,1,75
0,7,4,7,0,0,0,0,0,75
0,7,1,9,0,0,1,0,0,76
0,7,2,0,1,0,0,0,1,76
1,7,3,0,1,0,1,1,0,76
0,7,4,7,5,0,0,0,0,76
0,7,1,0,5,0,0,0,1,77
0,7,2,0,0,0,0,1,0,77
0,7,3,9,1,0,1,0,0,77
1,7,4,7,1,0,1,0,0,77
0,7,1,7,5,0,0,0,0,78
1,7,2,0,1,0,1,1,0,78
0,7,3,0,0,0,1,0,1,78
0,7,4,9,1,0,0,0,0,78
0,7,1,9,5,0,0,0,0,79
0,7,2,0,1,0,0,1,0,79
1,7,3,7,5,0,1,0,0,79
0,7,4,0,0,1,0,0,1,79
0,7,1,9,5,0,0,0,0,80
0,7,2,7,0,0,0,0,0,80
0,7,3,0,0,0,1,1,0,80
1,7,4,0,1,0,1,0,1,80
0,7,1,0,0,0,1,0,1,81
0,7,2,9,1,1,0,0,0,81
0,7,3,7,5,0,0,0,0,81
1,7,4,0,5,0,1,1,0,81
0,7,1,7,0,0,1,0,0,82
1,7,2,0,5,0,1,1,0,82
0,7,3,9,1,1,0,0,0,82
0,7,4,0,1,0,0,0,1,82
0,7,1,0,5,1,0,1,0,83
1,7,2,9,1,0,1,0,0,83
0,7,3,7,0,0,0,0,0,83
0,7,4,0,0,0,1,0,1,83
0,7,1,0,1,0,1,1,0,84
1,7,2,9,5,0,1,0,0,84
0,7,3,7,0,1,0,0,0,84
0,7,4,0,1,0,1,0,1,84
0,8,1,9,0,0,0,0,0,85
1,8,2,0,0,0,1,0,1,85
0,8,3,0,1,1,0,1,0,85
0,8,4,7,5,0,1,0,0,85
0,8,1,0,0,0,0,1,0,86
1,8,2,7,5,0,0,0,0,86
0,8,3,0,0,1,0,0,1,86
