id,alt,choice,income,price,catch
1,beach,0,7083.3317,157.93,0.0678
1,boat,0,7083.3317,157.93,0.2601
1,charter,1,7083.3317,182.93,0.5391
1,pier,0,7083.3317,157.93,0.0503
2,beach,0,1249.9998,15.114,0.1049
2,boat,0,1249.9998,10.534,0.1574
2,charter,1,1249.9998,34.534,0.4671
2,pier,0,1249.9998,15.114,0.0451
3,beach,0,3749.9999,161.874,0.5333
3,boat,1,3749.9999,24.334,0.2413
3,charter,0,3749.9999,59.334,1.0266
3,pier,0,3749.9999,161.874,0.4522
4,beach,0,2083.3332,15.134,0.0678
4,boat,0,2083.3332,55.93,0.1643
4,charter,0,2083.3332,84.93,0.5391
4,pier,1,2083.3332,15.134,0.0789
5,beach,0,4583.332,106.93,0.0678
5,boat,1,4583.332,41.514,0.1082
5,charter,0,4583.332,71.014,0.324
5,pier,0,4583.332,106.93,0.0503
6,beach,0,4583.332,192.474,0.5333
6,boat,0,4583.332,28.934,0.1665
6,charter,1,4583.332,63.934,0.3975
6,pier,0,4583.332,192.474,0.4522
7,beach,1,8750.001,51.934,0.0678
7,boat,0,8750.001,191.93,0.1643
7,charter,0,8750.001,220.93,0.5391
7,pier,0,8750.001,51.934,0.0789
8,beach,0,2083.3332,15.134,0.0678
8,boat,0,2083.3332,21.714,0.0102
8,charter,1,2083.3332,56.714,0.0209
8,pier,0,2083.3332,15.134,0.0789
9,beach,0,3749.9999,34.914,0.2537
9,boat,1,3749.9999,34.914,0.0233
9,charter,0,3749.9999,53.414,0.0219
9,pier,0,3749.9999,34.914,0.1498
10,beach,0,2916.6666,28.314,0.2537
10,boat,1,2916.6666,28.314,0.0233
10,charter,0,2916.6666,46.814,0.0219
10,pier,0,2916.6666,28.314,0.1498
11,beach,0,3749.9999,34.914,0.1049
11,boat,0,3749.9999,24.334,0.1574
11,charter,0,3749.9999,48.334,0.4671
11,pier,1,3749.9999,34.914,0.0451
12,beach,0,7083.3317,312.144,0.5333
12,boat,1,7083.3317,16.722,0.2413
12,charter,0,7083.3317,51.722,1.0266
12,pier,0,7083.3317,312.144,0.4522
13,beach,0,1249.9998,17.862,0.1049
13,boat,0,1249.9998,4.122,0.0023
13,charter,0,1249.9998,28.122,0.0046
13,pier,1,1249.9998,17.862,0.0451
14,beach,0,2083.3332,15.134,0.0678
14,boat,0,2083.3332,55.93,0.0014
14,charter,0,2083.3332,84.93,0.0029
14,pier,1,2083.3332,15.134,0.0789
15,beach,1,8750.001,74.514,0.2537
15,boat,0,8750.001,74.514,0.2339
15,charter,0,8750.001,93.014,0.6288
15,pier,0,8750.001,74.514,0.1498
16,beach,0,5416.6667,33.534,0.0678
16,boat,0,5416.6667,123.93,0.1643
16,charter,0,5416.6667,152.93,0.5391
16,pier,1,5416.6667,33.534,0.0789
17,beach,1,5416.6667,48.114,0.1049
17,boat,0,5416.6667,33.534,0.1574
17,charter,0,5416.6667,57.534,0.4671
17,pier,0,5416.6667,48.114,0.0451
18,beach,0,2916.6666,33.462,0.1049
18,boat,0,2916.6666,7.722,0.0613
